Canon_SMILES,chembl_id,activity_type,value,units,assay_chembl_id,assay_description
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,deltaH,-55.94,kJ/mol,CHEMBL3411737,Binding affinity to human serum albumin assessed as enthalpy change at 300K by thermodynamic analysis
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,deltaH,-31.98,kJ/mol,CHEMBL3411737,Binding affinity to human serum albumin assessed as enthalpy change at 300K by thermodynamic analysis
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,K,12.32,10'4/M,CHEMBL3411736,Binding affinity to human serum albumin assessed as binding constant at 310K by Stem-Volmer plot
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,K,8.56,10'4/M,CHEMBL3411736,Binding affinity to human serum albumin assessed as binding constant at 310K by Stem-Volmer plot
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,K,18.62,10'4/M,CHEMBL3411735,Binding affinity to human serum albumin assessed as binding constant at 305K by Stem-Volmer plot
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,K,9.51,10'4/M,CHEMBL3411735,Binding affinity to human serum albumin assessed as binding constant at 305K by Stem-Volmer plot
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,K,25.32,10'4/M,CHEMBL3411734,Binding affinity to human serum albumin assessed as binding constant at 300K by Stem-Volmer plot
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,K,12.91,10'4/M,CHEMBL3411734,Binding affinity to human serum albumin assessed as binding constant at 300K by Stem-Volmer plot
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,Kq,12.15,10'12/M/s,CHEMBL3411732,Binding affinity to human serum albumin assessed as quenching constant at 310K by fluorescence spectroscopy
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,Kq,6.24,10'12/M/s,CHEMBL3411732,Binding affinity to human serum albumin assessed as quenching constant at 310K by fluorescence spectroscopy
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,Kq,14.95,10'12/M/s,CHEMBL3411731,Binding affinity to human serum albumin assessed as quenching constant at 305K by fluorescence spectroscopy
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,Kq,7.98,10'12/M/s,CHEMBL3411731,Binding affinity to human serum albumin assessed as quenching constant at 305K by fluorescence spectroscopy
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,Kq,17.69,10'12/M/s,CHEMBL3411730,Binding affinity to human serum albumin assessed as quenching constant at 300K by fluorescence spectroscopy
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,Kq,9.85,10'12/M/s,CHEMBL3411730,Binding affinity to human serum albumin assessed as quenching constant at 300K by fluorescence spectroscopy
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,KSV,12.15,10'4/M,CHEMBL3411729,Binding affinity to human serum albumin assessed as Stem-Volmer quenching constant at 310K by fluorescence spectroscopy
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,KSV,6.24,10'4/M,CHEMBL3411729,Binding affinity to human serum albumin assessed as Stem-Volmer quenching constant at 310K by fluorescence spectroscopy
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,KSV,14.95,10'4/M,CHEMBL3411728,Binding affinity to human serum albumin assessed as Stem-Volmer quenching constant at 305K by fluorescence spectroscopy
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,KSV,7.98,10'4/M,CHEMBL3411728,Binding affinity to human serum albumin assessed as Stem-Volmer quenching constant at 305K by fluorescence spectroscopy
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,KSV,17.69,10'4/M,CHEMBL3411727,Binding affinity to human serum albumin assessed as Stem-Volmer quenching constant at 300K by fluorescence spectroscopy
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,KSV,9.85,10'4/M,CHEMBL3411727,Binding affinity to human serum albumin assessed as Stem-Volmer quenching constant at 300K by fluorescence spectroscopy
